163	enhancement,bun-migration,ci-cd	## Summary\n\nTrack migration path for Bun as primary runtime when Bun workspaces become production-ready.\n\n## Context\n\nCurrent CI setup uses:\n- **pnpm** for package management (install, workspaces)\n- **tsc** for type checking\n- **vitest** for testing\n- **Turborepo** for task orchestration\n\nResearch shows this is industry standard for TypeScript monorepos. However, Bun offers significant performance improvements that become relevant as Bun workspaces mature.\n\n## Migration Phases\n\n### Phase 1 (Current) — Bun Test Runner Only\n- [ ] Use `bun test` instead of `vitest run` in CI\n- Keep pnpm for install (better workspace support)\n- Keep tsc for type checking (Bun transpiler doesn&#39;t type-check)\n\n**Benefit**: 10x faster test runs with zero code changes.\n\n### Phase 2 (Bun v2.x) — Bun for Install + Test\n- [ ] Replace `pnpm install` with `bun install`\n- [ ] Replace `vitest run` with `bun test`\n- Keep `tsc --noEmit` (still required for type checking)\n- Keep Turborepo for task orchestration\n\n**Trigger**: When `workspace:*` protocol is stable in Bun.\n\n**Benefit**: 10x faster installs + 10x faster tests.\n\n### Phase 3 (Bun v3/v4) — Full Migration\n- [ ] Migrate pnpm workspaces → Bun workspaces\n- [ ] Set `packageManager: &#34;bun@x.x&#34;` in package.json\n- [ ] Consider replacing Turborepo with native Bun build\n\n**Trigger**: When Bun workspaces have:\n- Graph-based filtering (not just glob)\n- Stable `workspace:*` protocol\n- Proven production monorepo adoption\n\n## Performance Comparison\n\n| Operation | Current (pnpm+vitest) | Phase 1 (pnpm+bun) | Phase 2 (full bun) |\n|-----------|----------------------|---------------------|-------------------|\n| Install   | ~18s                 | ~18s                | ~6s (10x faster)  |\n| Type check| ~5s                  | ~5s                 | ~5s               |\n| Tests     | ~30s                 | ~3s (10x faster)    | ~3s               |\n| **Total** | **~53s**             | **~26s**            | **~14s**          |\n\n## References\n\n- [Bun CI/CD Guide](https://bun.com/docs/guides/runtime/cicd)\n- [Bun workspaces tracking issue](https://github.com/oven-sh/bun/issues/xxx)\n- Research: 0 major production monorepos use Bun as primary CI runtime (pnpm dominates)\n\n## Notes\n\n- `bun test` is ~95% Jest compatible — some test adjustments may be needed\n- `@types/bun` ambient types can interfere with ES2022 compatibility checking\n- Turborepo still valuable for remote caching and affected commands even with Bun\n
156	bug,tech-debt,priority:P1	**Description:**\nPre-existing lint errors across multiple packages block the `/finish-work` workflow. These errors were introduced in merged commits from issues #23 and #27.\n\n**Errors found:**\n\n**packages/providers (registry.ts, registry.test.ts)**\n- `src/__tests__/registry.test.ts:19` — async generator `gen` has no `await` expression\n- `src/__tests__/registry.test.ts:19` — missing return type on function\n\n**packages/core (schema.test.ts)**\n- `src/config/__tests__/schema.test.ts:166,171` — dot-notation violation\n\n**packages/tools (multiple files)**\n- `src/bash.ts:3` — unused `relative` import\n- `src/bash.ts:100,101` — unnecessary optional chains\n- `src/file-edit.ts:164` — invalid template literal type\n- `src/glob.ts:33` — async function without `await`\n- `src/grep.ts:67` — forbidden `import()` type annotations\n- `src/grep.ts:150` — forbidden non-null assertion\n\n**Impact:**\n- `/finish-work` quality gate fails on `pnpm lint`\n- Blocks CI pipeline from running on new PRs\n- ~28 errors, 3 warnings across 3 packages\n\n**Suggested fix:**\nRun `pnpm lint --fix` per package, then manually fix remaining errors that require code changes.\n\n**Labels:** `bug`, `tech-debt`, `priority:P1`
153	feature,level:task,component:providers,area:provider-registry,conflict:shared-types	## Context\n\nThe DiriCode Provider Router (Epic #3) needs to support Minimax as an additional AI provider. This would add a third provider option alongside the existing Copilot (priority 1) and Kimi (priority 2).\n\n## Requirements\n\n1. **API Integration**\n   - Integrate with Minimax&#39;s Token API (moapi.io)\n   - Support chat completion and streaming endpoints\n   - Handle Minimax-specific authentication (API key + group ID)\n\n2. **Provider Implementation**\n   - Implement `Provider` interface from `@diricode/providers`\n   - Follow existing patterns used for Copilot/Kimi adapters\n   - Support streaming via Minimax&#39;s SSE endpoint\n\n3. **Configuration**\n   - Add Minimax to `ProviderPriorities` (priority 3)\n   - Support `DC_MINIMAX_API_KEY` and `DC_MINIMAX_GROUP_ID` env vars\n   - Model selection: `abab6.5s-chat`, `abab6.5g-chat`, etc.\n\n4. **Documentation**\n   - Document Minimax API setup and rate limits\n   - Add Minimax to the provider comparison table\n\n## Labels\n\n- `feature`\n- `component:providers`\n- `area:provider-registry`\n- `conflict:shared-types`\n- `type:enhancement`\n\n## Acceptance Criteria\n\n- [ ] Minimax provider implements the `Provider` interface\n- [ ] Streaming and non-streaming completions work\n- [ ] Error handling for invalid API key / quota exceeded\n- [ ] Priority registration in registry (priority 3)\n- [ ] Unit tests for Minimax adapter\n\n## Dependencies\n\nDepends on: #27 (Provider interface/registry) — Completed
137	feature,level:task,component:web,area:web-work-mode,conflict:event-schema,conflict:session-schema,conflict:api-contract,conflict:ui-shell	**Epic**: #17 Web UI MVP [MVP-3]\n**Iteration**: MVP-3\n\nWork mode control panel: 4 sliders (Quality 0–3, Autonomy 0–3, Verbose 0–2, Creativity 0–3). Live labels per value. Persisted to session config. Emits config.workMode.changed event.
136	feature,level:task,component:web,area:web-approval-ui,conflict:event-schema,conflict:session-schema,conflict:api-contract,conflict:ui-shell	**Epic**: #17 Web UI MVP [MVP-3]\n**Iteration**: MVP-3\n\nModal approval dialog triggered by approval_required events. Shows: action description, risk level, file/command details. Approve/Deny buttons. 60s countdown auto-deny.
135	feature,level:task,component:web,area:web-session-ui,conflict:event-schema,conflict:session-schema,conflict:api-contract,conflict:ui-shell	**Epic**: #17 Web UI MVP [MVP-3]\n**Iteration**: MVP-3\n\nSession list sidebar: create new session, resume past session, delete session. Session metadata display (created_at, status, token count). Search/filter.
134	feature,level:task,component:web,area:web-diff-view,conflict:event-schema,conflict:session-schema,conflict:api-contract,conflict:ui-shell	**Epic**: #17 Web UI MVP [MVP-3]\n**Iteration**: MVP-3\n\nInline diff viewer for file changes emitted via EventStream. Side-by-side and unified modes. Syntax highlighting. Accept/reject controls (fires approval event).
133	feature,level:task,component:web,area:web-chat,conflict:event-schema,conflict:session-schema,conflict:api-contract,conflict:ui-shell	**Epic**: #17 Web UI MVP [MVP-3]\n**Iteration**: MVP-3\n\nMessage thread with user/assistant/system message types. Streaming message display (token-by-token). Markdown rendering with code highlighting. Input box with submit and interrupt controls.
132	feature,level:task,component:web,area:web-sse-client,conflict:event-schema,conflict:session-schema,conflict:api-contract,conflict:ui-shell	**Epic**: #17 Web UI MVP [MVP-3]\n**Iteration**: MVP-3\n\nSSE client connecting to /api/v1/events. Zustand global store for session, agent tree, metrics. Reconnect logic with exponential backoff. Connection status indicator.
131	feature,level:task,component:web,area:web-scaffold,conflict:event-schema,conflict:session-schema,conflict:api-contract,conflict:ui-shell	**Epic**: #17 Web UI MVP [MVP-3]\n**Iteration**: MVP-3\n\nVite + React 18 + TypeScript scaffold in packages/web. Tailwind CSS + shadcn/ui setup. Dev proxy to Hono server (port 3000). Build output to dist/.
